,pseudo_ALG,main_ALG,DATASET,method,vMAE,vSTD,eMAE,vs
77,MLP,RandomForestRegressor,CPT,SSL,0.6625270863371193,0.366517912121354,0.8591675289598436,[-0.98776148 -1.19602684 -0.40791499 -0.2301425  -0.49078962]
78,MLP,MLPRegressor,CPT,SSL,0.8640611000924519,0.325520392920181,0.709590906271165,[-1.12216385 -1.35268531 -0.46220006 -0.64986433 -0.73339195]
79,MLP,GradientBoostingRegressor,CPT,SSL,0.8602652328611786,0.21919222992134949,0.7887495764472638,[-1.03024491 -1.20408967 -0.69874886 -0.73400606 -0.63423666]
80,MLP,Lasso,CCT+CT,SSL,0.8637368563671088,0.24852888747962107,0.858723969667756,[-1.08003172 -1.20612618 -0.51270856 -0.75556292 -0.7642549 ]
81,MLP,BaggingRegressor,CCT+CT,SSL,0.8144461842774137,0.29738236024198106,0.8868763363321944,[-1.08877023 -1.25515052 -0.57242205 -0.61159787 -0.54429026]
82,MLP,KNeighborsRegressor,CCT+CT,SSL,0.8097724839323653,0.2590823465979865,0.9036820305772094,[-1.00904175 -1.21610889 -0.5545161  -0.68081834 -0.58837735]
83,MLP,AdaBoostRegressor,CCT+CT,SSL,0.8261887021673774,0.31743586652515654,0.7496564108677497,[-0.99823425 -1.36561011 -0.67228033 -0.50197297 -0.59284584]
84,MLP,LinearRegression,CCT+CT,SSL,0.8858573511083063,0.2759280588409211,0.8020973015024889,[-1.00893843 -1.36835795 -0.61080538 -0.75557216 -0.68561284]
85,MLP,SVR,CCT+CT,SSL,0.8524138168277601,0.2557460451968813,0.8218178115222863,[-1.05620718 -1.23416059 -0.52745782 -0.73259609 -0.71164742]
86,MLP,DecisionTreeRegressor,CCT+CT,SSL,1.052145057638642,0.2485484496405362,0.9127949781525142,[-1.2760311  -1.40830693 -0.93505037 -0.89493625 -0.74640064]
87,MLP,RandomForestRegressor,CCT+CT,SSL,0.7689694777908679,0.3197721914180386,0.7832504587571381,[-1.05410232 -1.25045214 -0.48233126 -0.54891086 -0.50905081]
88,MLP,MLPRegressor,CCT+CT,SSL,1.1783402980114552,0.29028767075620965,1.051249240875416,[-1.1737672  -1.68254892 -0.80410309 -1.21354811 -1.01773416]
89,MLP,GradientBoostingRegressor,CCT+CT,SSL,0.8543240944528849,0.24930590087635157,0.8343286325939511,[-1.07177303 -1.20685369 -0.54880793 -0.79590247 -0.64828335]
90,MLP,Lasso,FPT+PT,SSL,1.0195396145506708,0.13264745382718834,0.7698411420260021,[-1.03684747 -1.21979155 -0.87627144 -0.87218731 -1.0926003 ]
91,MLP,BaggingRegressor,FPT+PT,SSL,1.0732484906225885,0.1613691174703963,0.87303210705384,[-1.06464831 -1.17764501 -0.77411194 -1.24226498 -1.10757222]
92,MLP,KNeighborsRegressor,FPT+PT,SSL,1.0630146376203882,0.20356697481128067,0.9596490029787799,[-1.33135076 -1.23219252 -0.88352593 -0.79070612 -1.07729785]
93,MLP,AdaBoostRegressor,FPT+PT,SSL,1.2163172853800233,0.49399771060826314,0.9275863804834005,[-1.01126836 -1.29354851 -0.80950316 -0.82646288 -2.14080351]
94,MLP,LinearRegression,FPT+PT,SSL,1.0319198437711352,0.10041270702343781,0.7942178740274108,[-1.04428088 -1.20849024 -0.97185853 -0.9075993  -1.02737026]
95,MLP,SVR,FPT+PT,SSL,0.9880433998697835,0.14108928480031616,0.7584235927564331,[-1.03691507 -1.22821841 -0.92745502 -0.94342355 -0.80420495]
96,MLP,DecisionTreeRegressor,FPT+PT,SSL,1.2594540806485706,0.2668934331084407,1.1406652765587209,[-1.73055906 -1.34065115 -1.1975942  -0.97219577 -1.05627023]
97,MLP,RandomForestRegressor,FPT+PT,SSL,1.0436353936747258,0.1367691238172503,0.8308783800828389,[-1.09774649 -1.28681317 -0.92112115 -0.93193042 -0.98056574]
98,MLP,MLPRegressor,FPT+PT,SSL,0.9718050837881991,0.27063819754898966,1.2031338217375505,[-1.21741155 -1.37687271 -0.77615417 -0.74109035 -0.74749663]
99,MLP,GradientBoostingRegressor,FPT+PT,SSL,1.0541780189509846,0.09823317697387009,0.757177360038488,[-1.01974822 -1.22279339 -0.91795396 -1.04914912 -1.06124541]
100,MLP,Lasso,CPT+PT,SSL,1.0439873749429054,0.11917074422976616,0.7803595357147606,[-1.03928569 -1.21491511 -0.94795871 -0.88624164 -1.13153572]
101,MLP,BaggingRegressor,CPT+PT,SSL,0.7785299478164555,0.2457094181887532,0.9262948492868779,[-1.04640705 -1.10208171 -0.56815198 -0.5225716  -0.65343741]
102,MLP,KNeighborsRegressor,CPT+PT,SSL,0.8364894150152123,0.23388772397962598,0.7655280655419163,[-0.87266829 -1.25204713 -0.62482347 -0.83025388 -0.6026543 ]
103,MLP,AdaBoostRegressor,CPT+PT,SSL,0.7822256178425349,0.30287495506245976,0.8062449289732262,[-1.09752184 -1.20036766 -0.48793759 -0.58891657 -0.53638444]
104,MLP,LinearRegression,CPT+PT,SSL,0.7836188030679236,0.26152660651330323,0.765272969009227,[-1.05763672 -1.14517833 -0.59207425 -0.58278958 -0.54041513]
105,MLP,SVR,CPT+PT,SSL,0.7783167847499322,0.2875268489155309,0.7658459382442311,[-1.03893575 -1.20533    -0.59686005 -0.55734269 -0.49311542]
106,MLP,DecisionTreeRegressor,CPT+PT,SSL,1.0540179735891966,0.1430795884703406,0.7884099954931686,[-1.12417203 -1.30461766 -0.93229263 -0.95187326 -0.95713429]
107,MLP,RandomForestRegressor,CPT+PT,SSL,0.9654982090346064,0.1456108234718476,0.7920867055577909,[-0.93032059 -1.18324626 -0.77119925 -0.87251912 -1.07020582]
108,MLP,MLPRegressor,CPT+PT,SSL,0.7155039927053366,0.2837540004753596,1.2149194726970265,[-0.85316298 -1.18536954 -0.50969847 -0.37355402 -0.65573494]
109,MLP,GradientBoostingRegressor,CPT+PT,SSL,1.06404563281684,0.1319596486643241,0.8076309555792491,[-1.04552344 -1.20170223 -0.82098479 -1.10346028 -1.14855743]
110,MLP,Lasso,SPT+PT,SSL,0.9047311157290923,0.23125502218383154,0.7993577902168965,[-1.0466638  -1.20610732 -0.64694888 -0.62123215 -1.00270343]
111,MLP,BaggingRegressor,SPT+PT,SSL,0.930841701417646,0.1662144030903995,0.8645738222413166,[-1.00653536 -1.16517947 -0.69029135 -0.80332687 -0.98887545]
112,MLP,KNeighborsRegressor,SPT+PT,SSL,0.7383974990915617,0.3365761367100678,0.9330295184108991,[-1.06767601 -1.22156316 -0.41539412 -0.50845483 -0.47889938]
113,MLP,AdaBoostRegressor,SPT+PT,SSL,0.9862175225877838,0.20433128558474356,0.710611493177851,[-1.15598227 -1.23508242 -0.78615887 -0.71247464 -1.04138941]
114,MLP,LinearRegression,SPT+PT,SSL,0.9842959935216801,0.15028115205225745,0.7714030985554949,[-1.07361869 -1.17081659 -0.77170668 -0.84552682 -1.0598112 ]
115,MLP,SVR,SPT+PT,SSL,0.9684834568737342,0.2118406658739912,0.8036873092319101,[-1.05458303 -1.19757023 -0.7417045  -0.69066488 -1.15789464]
116,MLP,DecisionTreeRegressor,SPT+PT,SSL,0.985764334001621,0.28675235509910596,0.962787787221783,[-1.23040005 -1.33735617 -0.95357206 -0.51994399 -0.88754939]
117,MLP,RandomForestRegressor,SPT+PT,SSL,0.9157047005264347,0.23346134752084152,0.8013776778401779,[-1.04345628 -1.19229309 -0.80383215 -0.52005634 -1.01888564]
118,MLP,MLPRegressor,SPT+PT,SSL,0.7938775379238019,0.4708701577614127,1.1987117119810402,[-1.57269342 -1.09862632 -0.54138274 -0.37220526 -0.38447994]
119,MLP,GradientBoostingRegressor,SPT+PT,SSL,0.9741763952363633,0.20709473144628449,0.8211746475399302,[-1.07261722 -1.19037646 -0.72440117 -0.72550685 -1.15798028]
120,MLP,Lasso,clinical,SSL,0.7146436246622737,0.3660610278771583,0.7868182407762079,[-1.08361507 -1.22183383 -0.42102011 -0.32156238 -0.52518673]
121,MLP,BaggingRegressor,clinical,SSL,0.695926895822843,0.3671664092536026,1.0462074195794742,[-1.13484115 -1.13909431 -0.39414831 -0.29271202 -0.51883869]
122,MLP,KNeighborsRegressor,clinical,SSL,0.6138254259841416,0.3877682886363062,0.9355656808660442,[-1.04148302 -1.1265074  -0.28088853 -0.2367367  -0.38351148]
123,MLP,AdaBoostRegressor,clinical,SSL,0.6882884972373499,0.3747209122698843,0.8532562230247841,[-1.08876591 -1.18489978 -0.41262458 -0.26356096 -0.49159125]
124,MLP,LinearRegression,clinical,SSL,0.6468602511673548,0.4293077821373196,0.881163690357581,[-1.10650459 -1.20160753 -0.27324794 -0.15673082 -0.49621039]
125,MLP,SVR,clinical,SSL,0.6784039041644297,0.38320253641162394,0.7439236593077554,[-1.06779866 -1.21237327 -0.33935192 -0.30942735 -0.46306832]
126,MLP,DecisionTreeRegressor,clinical,SSL,0.8927244290285514,0.41773548016038975,1.1871683286159187,[-1.09669677 -1.15834373 -0.44207825 -0.35547576 -1.41102764]
127,MLP,RandomForestRegressor,clinical,SSL,0.6853764396134472,0.39123324122532493,1.098855968146644,[-1.19112401 -1.12852247 -0.43929489 -0.28091516 -0.38702567]
128,MLP,MLPRegressor,clinical,SSL,0.5270822814527828,0.3908396175451378,0.976857431886968,[-0.95849774 -1.04962506 -0.22935089 -0.18098338 -0.21695433]
129,MLP,GradientBoostingRegressor,clinical,SSL,0.6969004994568231,0.3708305498728364,0.8188253851668745,[-1.07585885 -1.20455827 -0.37501573 -0.30687775 -0.52219189]
130,MLP,Lasso,PT,SSL,0.8671324952435455,0.22998874988855866,0.7846652922649026,[-1.04028379 -1.21291892 -0.60374977 -0.81966647 -0.65904352]
131,MLP,BaggingRegressor,PT,SSL,0.8879741479044491,0.16568094491553648,0.7803174905150005,[-1.11937974 -1.04896335 -0.82067872 -0.71108337 -0.73976557]
132,MLP,KNeighborsRegressor,PT,SSL,0.7277208160732183,0.24428816965792663,0.8032661236613272,[-0.94503039 -1.09415557 -0.57191267 -0.49089657 -0.53660889]
133,MLP,AdaBoostRegressor,PT,SSL,0.9041124855371624,0.23300248050547903,0.7372235065142744,[-1.02152451 -1.21656022 -0.56959675 -0.70879971 -1.00408123]
134,MLP,LinearRegression,PT,SSL,0.9940682915692871,0.1743794880477046,0.7539256215752138,[-1.08219235 -1.21613555 -0.68772048 -0.9686418  -1.01565127]
135,MLP,SVR,PT,SSL,0.7593156123890135,0.2515294124854957,0.8648842407088198,[-1.05937585 -1.06636557 -0.5455173  -0.49571727 -0.62960207]
136,MLP,DecisionTreeRegressor,PT,SSL,0.9662922799080562,0.23896597403643924,1.2743635855166944,[-1.27380621 -1.21633903 -0.84883133 -0.65191709 -0.84056774]
137,MLP,RandomForestRegressor,PT,SSL,0.8577762639886727,0.18336415777798987,0.8824807652827568,[-0.99864762 -1.14870083 -0.72414418 -0.73440283 -0.68298585]
138,MLP,MLPRegressor,PT,SSL,0.579408817064144,0.27999699553567214,1.0492432308773563,[-0.75612509 -1.02868788 -0.50244396 -0.27120049 -0.33858667]
139,MLP,GradientBoostingRegressor,PT,SSL,0.9785385050632796,0.13612422217727824,0.8439981872374286,[-1.06617418 -1.16492964 -0.88686287 -0.99960585 -0.77511998]
140,MLP,Lasso,CT,SSL,0.8338124942324441,0.275539574561467,0.8439559952929777,[-1.08406178 -1.23121113 -0.50596457 -0.6590865  -0.68873849]
141,MLP,BaggingRegressor,CT,SSL,0.8229687145947159,0.31301633744805196,1.0138000141272752,[-1.12018488 -1.28146027 -0.56982371 -0.54958361 -0.5937911 ]
142,MLP,KNeighborsRegressor,CT,SSL,0.7437990658196366,0.3744192335301222,0.6933622697379048,[-1.0520425  -1.32728879 -0.44425359 -0.46191633 -0.43349411]
143,MLP,AdaBoostRegressor,CT,SSL,0.7359425026330072,0.3498645358787865,0.7608559642965625,[-1.04121734 -1.26398973 -0.51888477 -0.38911641 -0.46650426]
144,MLP,LinearRegression,CT,SSL,0.7671201728302034,0.3561305733483726,0.8776207403364484,[-1.05003186 -1.32387795 -0.47695225 -0.42546166 -0.55927714]
145,MLP,SVR,CT,SSL,0.8105427680116369,0.2718095664167126,0.7860683402873239,[-1.033679   -1.20736705 -0.46921519 -0.72962253 -0.61283008]
146,MLP,DecisionTreeRegressor,CT,SSL,1.1142404274388458,0.2028809947175749,1.0153640520677913,[-1.0657052  -1.45197298 -1.21309958 -0.87374984 -0.96667454]
147,MLP,RandomForestRegressor,CT,SSL,0.7733475057798505,0.349600254225677,0.9426868322117212,[-1.02808103 -1.2928783  -0.73296654 -0.4582579  -0.35455377]
148,MLP,MLPRegressor,CT,SSL,0.7077868738952183,0.44713231485752447,0.9794602921953949,[-1.201739   -1.30372756 -0.39311018 -0.34255166 -0.29780597]
