,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
161,BaggingRegressor,PT+clinical,SL,1.2220534246575343,0.2125289633612434,0.8424383561643836,[-1.31830479 -0.84457192 -1.44691781 -1.1455137  -1.3549589 ]
162,KNeighborsRegressor,PT+clinical,SL,1.1104996738421395,0.10109175532426914,0.8024657534246575,[-1.24444716 -0.93713307 -1.16306262 -1.09273483 -1.11512068]
163,AdaBoostRegressor,PT+clinical,SL,1.1901094621127153,0.09806288683544859,0.8226173524688768,[-1.32644724 -1.04878463 -1.11639711 -1.20720335 -1.25171498]
164,LinearRegression,PT+clinical,SL,1.107998027728906,0.11260026321760733,0.7756437730113737,[-1.24343987 -0.94927697 -1.072509   -1.22922687 -1.04553744]
165,SVR,PT+clinical,SL,1.072540210534918,0.12059968745967922,0.7443764557948219,[-1.18846391 -0.94164355 -1.03910724 -1.23791657 -0.95556978]
166,DecisionTreeRegressor,PT+clinical,SL,1.3774372725828203,0.2535773561083923,0.8769726313680021,[-1.28667003 -1.33385274 -1.51167319 -0.99451362 -1.76047678]
167,RandomForestRegressor,PT+clinical,SL,1.2049110608452662,0.14443073126486639,0.8159084335404497,[-1.30313426 -0.97969667 -1.28561525 -1.0932446  -1.36286453]
168,MLPRegressor,PT+clinical,SL,1.473233840555808,0.14042871877215637,1.291325604308774,[-1.20120552 -1.53483688 -1.53811183 -1.6008054  -1.49120957]
169,Lasso,PT+clinical,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
170,GradientBoostingRegressor,FCT+clinical+CT,SL,1.037634099039084,0.10282358844568053,0.8946299889099549,[-1.11676951 -0.92123451 -0.94135378 -1.1906189  -1.01819379]
171,BaggingRegressor,FCT+clinical+CT,SL,1.1618105022831051,0.14753544948448893,0.8532191780821918,[-1.14659247 -1.02611301 -1.11455479 -1.44571918 -1.07607306]
172,KNeighborsRegressor,FCT+clinical+CT,SL,1.074702103833261,0.13226601679742134,0.7396638235871146,[-1.04982557 -0.89612156 -1.01274767 -1.29657528 -1.11824043]
173,AdaBoostRegressor,FCT+clinical+CT,SL,1.0457606053251598,0.1410164023453432,0.7796717570476979,[-1.11825888 -1.09452205 -0.90975445 -1.24442947 -0.86183818]
174,LinearRegression,FCT+clinical+CT,SL,1.1203659858970485,0.1426281663501434,0.8294649158996993,[-1.29263388 -0.95874082 -0.95622699 -1.25708446 -1.13714378]
175,SVR,FCT+clinical+CT,SL,1.0783383106981304,0.0916307307976244,0.7726665170020437,[-1.02031696 -1.00878691 -1.00750654 -1.24491179 -1.11016935]
176,DecisionTreeRegressor,FCT+clinical+CT,SL,1.245261828658404,0.15165323581575793,1.1993746367787463,[-1.24240297 -0.96033771 -1.35300609 -1.28056466 -1.38999772]
177,RandomForestRegressor,FCT+clinical+CT,SL,1.066765174688173,0.12371930547943587,0.9106180083807474,[-1.09809757 -0.97721414 -0.92110807 -1.28169104 -1.05571505]
178,MLPRegressor,FCT+clinical+CT,SL,1.3029611930351424,0.06517846510581833,0.9259885192175028,[-1.32892644 -1.25467942 -1.21199882 -1.40170545 -1.31749584]
179,Lasso,FCT+clinical+CT,SL,1.119638970428354,0.14662518665847854,0.8141199930639846,[-1.26181235 -1.01849315 -0.91594368 -1.30663459 -1.09531107]
180,GradientBoostingRegressor,FPT+clinical+PT,SL,1.1147493046052177,0.1351566178977687,0.8276521123795962,[-1.26580668 -1.04007844 -0.941943   -1.28219024 -1.04372816]
181,BaggingRegressor,FPT+clinical+PT,SL,1.2929696347031965,0.12945694596189217,0.895027397260274,[-1.42729452 -1.40717466 -1.06431507 -1.27232877 -1.29373516]
182,KNeighborsRegressor,FPT+clinical+PT,SL,1.2481100963977678,0.16550051097110474,0.8272450532724506,[-1.4380137  -1.1076484  -1.08424658 -1.4598554  -1.1507864 ]
183,AdaBoostRegressor,FPT+clinical+PT,SL,1.2652373265393309,0.23793693531099597,0.8619896480743249,[-1.13718222 -1.64752844 -1.19405003 -1.39586639 -0.95155956]
184,LinearRegression,FPT+clinical+PT,SL,1.1261665155580314,0.1487979787196567,0.7997223087933405,[-1.26399935 -1.01829905 -0.91893339 -1.31827361 -1.11132719]
